alr	Alanine racemase
yffP	Function unknown, Eut/CPZ-55 prophage
yffQ	Function unknown, Eut/CPZ-55 prophage
yffR	Function unknown, Eut/CPZ-55 prophage
yffS	Function unknown, Eut/CPZ-55 prophage
eutA	Reactivating factor for ethanolamine ammonia lyase EutBC
eutH	Ethanolamine transport
eutG	Aldehyde reductase, converts acetaldehyde to ethanol; ethanol dehydrogenase
eutJ	Putative chaperonin
eutE	Aldehyde oxidoreductase
eutN	Ethanolamine catabolic microcompartment shell protein
eutM	Ethanolamine catabolic microcompartment shell protein
eutD	Acetyl phosphotransacylase
eutT	Cobalamin adenosyl transferase
eutQ	eut operon protein, function unknown
eutP	eut operon protein, function unknown
eutS	Ethanolamine catabolic microcompartment shell protein
maeB	NADP-dependent malic enzyme; NADP-ME
ypfG	Function unknown
ypfH	Acyl CoA esterase in vitro, physiological function unknown
tmcA	Elongator methionine tRNA (ac4C34) acetyltransferase; tRNA N(4)-acetylcytidine acetyltransferase
ypfJ	Function unknown
yfdZ	Function unknown
yfgC	Predicted periplasmic metalloprotease, function unknown, has TPR repeats; M48 family
yfgD	Function unknown
hda	Required for regulatory inactivation of DnaA; multicopy suppressor of dnaN(ts)
yfgF	Predicted c-di-GMP dual activity enzyme, inner membrane protein, function unknown
yfgG	Function unknown
yfgH	Novel verified lipoprotein, function unknown
yfgI	Function unknown
yfgJ	Required for swarming phenotype, function unknown
der	Multicopy suppressor of ftsJ; depleted cells form filaments with defective chromosome segregation; GTPase
bamB	Lipoprotein required for OM biogenesis, in BamABCD complex; mutant has pleiotropic envelope defects; required for swarming phenotype
yfgM	conserved protein, UPF0070  family, function unknown
pbpC	Penicillin-binding protein PBP1C murein transglycosylase
hyfC	Putative hydrogenase 4 component C; membrane protein of Hyf electron transfer complex of FHL system
hyfD	Putative hydrogenase 4 component D; membrane protein of Hyf electron transfer complex of FHL system
hyfE	Hydrogenase 4 component E; membrane protein of Hyf electron transfer complex of FHL system
hyfF	Putative hydrogenase 4 component F; membrane protein of Hyf electron transfer complex of FHL system
hyfG	Putative hydrogenase 4 component G; membrane protein of Hyf electron transfer complex of FHL system
hyfH	Hydrogenase 4 component H; membrane protein of Hyf electron transfer complex of FHL system
hyfI	Hydrogenase 4 component I; membrane protein of Hyf electron transfer complex of FHL system
hyfJ	Hydrogenase 4 component J; membrane protein of Hyf electron transfer complex of FHL system
hyfR	Formate-sensing regulator for hyf operon
focB	Probable bidirectional formate transporter 2
yfgO	Function unknown, predicted membrane permease
bamD	Lipoprotein required for OM biogenesis; in BamABCD complex
yfiP	Function unknown, DTW domain protein
yfiQ	Acetyl-CoA synthase lysine acetylase; acetylates K609 inhibiting Acs function
yfiR	Function unknown
ypjD	Function unknown; eight predicted transmembrane helices
yqiH	Predicted periplasmic pilus chaperone, function unknown
yqiI	Function unknown
yqiJ	Inner membrane protein, DUF1449 family, function unknown
yqiK	PHB family membrane protein, function unknown
cusC	Silver and copper efflux, OMF lipoprotein component; outer membrane factor (OMF) of a tripartate efflux pump; confers copper and silver resistance; required for invasion of brain microvascular endothelial cells in strain K1
cusF	Silver and copper efflux, periplasmic binding protein; metallochaperone; confers copper and silver resistance; CusF binds both Cu(I) and Ag(I) with high affinity, but does not bind Cu(II)
cusB	Silver and copper efflux, membrane fusion protein; confers copper and silver resistance
ylaB	Predicted cyclic-di-GMP phosphodiesterase, function unknown
ylaC	Inner membrane protein, DUF1449 family, function unknown
maa	Maltose O-acetyltransferase
kefA	Mechanosensitive channel protein, intermediate conductance; regulation of ion balance and turgor pressure at high osmolarity; also may affect activity of mechanosensitive channel MscS
clpS	Substrate modulator for ClpAP; directs protease activity towards aggregated proteins
cspG	Cold shock protein homolog, cold-inducible
ycgX	Function unknown
xisE	e14 excisionase, in defective prophage
ymfI	Function unknown, e14 prophage
ymfJ	Function unknown, e14 prophage
cohE	CI-like repressor, e14 prophage
ymfL	Function unknown, e14 prophage
ymfM	Function unknown, e14 prophage
ymfQ	Putative baseplate or tail fiber protein, e14 prophage
yciU	Function unknown, UPF0263 family
yciV	Function unknown, PHP family
rbn	RNase BN, tRNA processing enzyme; matures phage T4 proline, serine and isoleucine tRNAs; zinc phosphodiesterase activity
elaD	Protease, capable of cleaving an AMC-ubiquitin model substrate; physiological substrate unknown
yciW	Function unknown
folX	Dihydroneopterin triphosphate epimerase, tetrahydromonapterin synthesis
cbl	ssuEADCB and tauABCD operon activator
nac	Repressor of gdhA transcription; RpoN, GlnG(NtrC) regulons; pleiotropic effects
flgB	Flagellar basal body rod subunit
flgC	Flagellar basal body rod subunit
flgD	Flagellar basal body rod modification
flgE	Flagellar hook subunit protein
flgF	Flagellar basal body rod subunit
flgG	Flagellar basal body rod major subunit
flgJ	Flagellum-specific muramidase
flhA	Flagellar export pore protein, integral membrane protein
mhpD	2-keto-4-pentenoate hydratase; utilizes MHP
ycgY	Function unknown
mlaA	Maintains OM lipid asymmetry; surface-exposed OM lipoprotein; required for intercellular spreading in Shigella
ykgI	Predicted periplasmic protein, YhcN family, function unknown
yaiY	Inner membrane protein, DUF2755 family, function unknown
yaiZ	Predicted inner membrane protein, DUF2754 family function unknown
cspH	Cold shock protein homolog, not cold-inducible
ykfF	Function unknown, CP4-6 putative prophage remnant
ypjF	Toxin component of putative toxin-antitoxin pair YpjF-YfjZ; CP4-57 prophage
ninE	Homolog of phage lamdba nin, DLP12 prophage
ycaR	Function unknown, low abundance protein
ycgZ	Connector protein for RcsB regulation of biofilm and acid-resistance; blue light, low temperature and stress induction, YcgEF and RpoS regulons
ymgA	Connector protein for RcsB regulation of biofilm; blue light, low temperature and stress induction, YcgEF and RpoS regulons
ariR	Connector protein for RcsB regulation of biofilm and acid-resistance; blue light, low temperature and stress induction, YcgEF and RpoS regulons
ymgC	Blue light, low temperature and stress induced, function unknown; YcgEF and RpoS regulons
ymgD	Predicted secreted protein, function unknown
ychQ	Predicted inner membrane protein, Salmonella sirB2 ortholog, function unknown
ynaJ	Predicted inner membrane protein, DUF2534 family, function unknown
ymjA	Function unknown
ynaK	Blue light induced, function unknown, Rac prophage; YcgEF regulon
ynbE	Novel verified lipoprotein, function unknown
paaB	Phenylacetyl-CoA oxygenase, effector protein; phenylacetic acid degradation
yncJ	Predicted secreted protein, function unknown
bdm	Osmoresponsive gene with reduced expression in biofilms; function unknown
hokE	Putative small toxic membrane polypeptide; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; regulatory antisense sRNA antitoxin is SokE
cnu	OriC-binding complex H-NS/Cnu; binds 26 bp cnb site; also forms a complex with StpA; complex formation may protect HN-S and StpA from Lon degradation
yoaF	Novel verified lipoprotein, function unknown
yoaG	Stress-induced protein, function unknown; involved in cadmium and peroxide resistance
yoaH	Function unknown
yodC	Function unknown
yqaE	regulated by cyaR sRNA, UPF0057 family, function unknown; predicted membrane protein
yqjK	Function unknown
yecT	Function unknown, possible secreted protein or lipoprotein
ysaA	Ferredoxin-like protein, function unknown
rffT	TDP-Fuc4NAc:Lipid II transferase; needed for ECA (enterobacterial common antigen) synthesis
ysgA	Dienelactone hydrolase homolog, function unknown
tatB	Protein translocase, Sec-independent; mediates export of folded and ligand-bound proteins
ykgJ	Function unknown
matA	Putative transcriptional regulator for mat genes
ykgL	Function unknown
ykgM	RpmE paralog, function unknown; Zur regulon
ybhT	Expressed protein, membrane-associated, function unknown
ybgT	Expressed protein, membrane-associated, function unknown; cydAB operon
ypjJ	Function unknown, CP4-57 putative defective prophage
ykfG	Function unknown, CP4-6 putative prophage remnant
ykfH	Function unknown, CP4-6 putative prophage remnant
ykfI	Toxin component of toxin-antitoxin protein pair YkfI-YafW; CP4-6 prophage
yceO	Expressed protein, function unknown
bssS	Repressor of biofilm formation by indole transport regulation; global regulator, e.g. of AI-2 transport and motility genes; cold shock gene
ymfR	Function unknown, e14 prophage
tfaP	Predicted tail fiber assembly gene, e14 prophage
ymgE	Function unknown
yaaW	Conserved protein, UPF0174 family
ymgF	Inner membrane division septum protein, function unknown; binds FtsL, FtsI and FtsQ
yjdO	Function unknown
sgcB	Predicted phosphotransferase enzyme IIB, function unknown
arnE	Undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit
ecnB	Bacteriolytic lipoprotein entericidin B toxin
yjbS	Function unknown
yciX	Function unknown
ybdZ	Function unknown
ylcG	Expressed protein, function unknown, DLP12 prophage
ylcH	Function unknown, DLP12 prophage
yoeB	Toxin in the YefM-YoeB toxin/antitoxin pair; has in vitro RNase activity
ymdF	Function unknown
thiS	Immediate sulfur donor in thiazole formation; C-terminal thiocarboxylate; ThiF-ThiS complex
yheV	Function unknown
ypeB	Function unknown
yegS	Phosphatidylglycerol kinase, metal-dependent
yrhD	Function unknown
ecnA	Lipoprotein antitoxin to bacteriolytic lipoprotein entericidin B (ecnB) toxin
srlE	Glucitol/sorbitol-specific enzyme IIB component of PTS
mdlB	ABC exporter permease-ATPase, function unknown
yeiW	Function unknown, UPF0153 family
ypdI	Colanic acid synthesis protein; possible lipoprotein
ypjK	Function unknown, CP4-57 putative defective prophage
rzoD	Probable Rz1-like lipoprotein, DLP12 prophage
rzoR	Probable Rz1-like lipoprotein, Rac prophage
yobF	Expressed protein, function unknown, in cspC operon
mgrB	Mg(2+)-starvation-stimulated gene, function unknown; expressed protein
yaaX	Predicted secreted protein, function unknown
ypeC	Predicted secreted protein, function unknown
yaaY	Function unknown
yodD	Stress-induced protein, function unknown; involved in peroxide and acid resistance
ynfN	Cold shock-induced protein, function unknown, Qin prophage
blr	beta-Lactam resistance protein
yciY	Function unknown
yncL	Expressed protein, function unknown;
yneM	Expressed protein, membrane-associated, function unknown
ypfM	Soluble expressed protein, function unknown
yibT	Function unknown; homologs in Salmonella, Klebsiella, and Yersinia
ytjA	Function unknown; homologs widespread in Bacteria
ypfN	Predicted membrane protein, UPF0370 family, function unknown
ysaB	Possible lipoprotein, function unknown
ytcA	Function unknown
tisB	LexA-regulated toxic peptide; also regulated by the divergent istR-1 sRNAs
ldrA	Toxic peptide LdrA, in LDR-A repeat; proposed addiction module, with antisense sRNA rdlA
ldrB	Toxic peptide LdrB, in LDR-B repeat; proposed addiction module, with antisense sRNA rdlB
ldrC	Toxic peptide LdrC, in LDR-C repeat; proposed addiction module, with antisense sRNA rdlC
ldrD	Toxic peptide LdrD, in LDR-D repeat; proposed addiction module, with antisense sRNA rdlD
yjdP	Predicted secreted protein, function unknown; compositional bias
yliL	Blue light induced, function unknown, YcgEF regulon
torI	Inhibitor of TorR regulator, also CPS-53/KpLE1 exisionase; blocks torABC transcription
yceQ	Function unknown
croE	Cro-like repressor, e14 prophage
ymgG	Conserved  protein, UPF0757 family, function unknown; glycine-rich
yoaI	Function unknown
hicA	mRNA interferase toxin of hicAB TA pair; required for swarming phenotype
ynfO	Function unknown, Qin prophage
yniD	Expressed protein, function unknown
yobH	Function unknown
yohO	Expressed protein, function unknown
ypaA	Function unknown, YfaD C-terminal domain-like protein
yicS	Function unknown
yjhX	Function unknown
dinQ	Damage inducible transcript, function unknown
ykgO	Expressed protein, function unknown, RpmJ paralog
ylcI	Function unknown
ypaB	Function unknown
ygdT	Function unknown
ymgI	Function unknown
ymgJ	Function unknown
ykfM	Function unknown, no homologs
ybhU	Function unknown
yjbT	Function unknown, no homologs
yciZ	Function unknown
yojO	Function unknown
ydgU	Stationary phase expressed protein, function unknown
ymiA	Expressed protein, function unknown
ythA	Expressed protein, function unknown
uof	RyhB-regulated Fur regulatory leader peptide
yneN	Two-component system connector protein, EvgSA to PhoQP; TCS regulon connector; EvgSA-regulated membrane protein that activates the PhoQP regulon
sgrT	Inhibitor of glucose uptake
azuC	Expressed protein, membrane-associated
ibsD	Toxic membrane protein, in SIBd repeat
ibsC	Toxic membrane protein, in SIBc repeat
ibsE	Toxic membrane protein, in SIBe repeat
ibsA	Toxic membrane protein, in SIBa repeat
ibsB	Toxic membrane protein, in SIBb repeat
ilvX	Expressed protein, function unknown
yjeV	Expressed protein, function unknown
ykgR	Expressed protein, function unknown
ymiB	Expressed protein, function unknown
ynbG	Expressed protein, function unknown
yoaJ	Expressed protein, membrane-associated, function unknown
yoaK	Expressed protein, membrane-associated, function unknown
yobI	Expressed protein, function unknown
yoeI	Expressed protein, function unknown
yohP	Expressed protein, membrane-associated, function unknown
ypdK	Expressed protein, membrane-associated, function unknown
yqcG	Expressed protein, function unknown
yqeL	Expressed protein, function unknown
yqfG	Expressed protein, function unknown
yrbN	Expressed protein, function unknown
yshB	Expressed protein, function unknown
rzoQ	Probable Rz1-like lipoprotein, Qin prophage
shoB	Toxic membrane protein antisense regulated by ohsC
oriC	Origin of chromosomal DNA replication, bidirectional
dctA	Uptake of C-4 dicarboxylic acids and orotate; 3-fluoromalate resistance, D-tartrate resistant; uptake of D-malate (reed, 2006)
dgoD	Galactonate dehydratase
glcB	Malate synthase G
gpsA	sn-Glycerol-3-phosphate dehydrogenase [NAD(P)+]
hpt	Hypoxanthine-guanine phosphoribosyltransferase
kefB	NEM-activatable K+/H+ antiporter
nanT	Sialic acid transporter
nfsB	Nitroreductase B, oxygen-insensitive, NAD(P)H, FMN-dependent; minor; reduces a variety of nitroaromatics, e.g. dihydropteridine, nitrofurantoin, nitrofurazone, quinones; monomeric or homodimeric
